penalty,mixture,.metric,.estimator,mean,n,std_err,.config
1e-4,0,accuracy,multiclass,0.6691145332459626,3,0.001137942424571289,pre0_mod01_post0
1e-4,0,bal_accuracy,macro,0.6633654360264071,3,0.0010627613598561307,pre0_mod01_post0
1e-4,0,f_meas_micro,micro,0.6691145332459626,3,0.001137942424571289,pre0_mod01_post0
1e-4,0,kap_quad,multiclass,0.47113983058740033,3,0.0022527424309683676,pre0_mod01_post0
1e-4,0.5,accuracy,multiclass,0.6701026371833861,3,0.0012404148622440782,pre0_mod02_post0
1e-4,0.5,bal_accuracy,macro,0.6699619619013965,3,0.0014340182396861828,pre0_mod02_post0
1e-4,0.5,f_meas_micro,micro,0.6701026371833861,3,0.0012404148622440782,pre0_mod02_post0
1e-4,0.5,kap_quad,multiclass,0.4805029074802633,3,0.0023528337199330237,pre0_mod02_post0
1e-4,1,accuracy,multiclass,0.6701314167844062,3,0.0012494147624167937,pre0_mod03_post0
1e-4,1,bal_accuracy,macro,0.6700784988171429,3,0.0014683812777408925,pre0_mod03_post0
1e-4,1,f_meas_micro,micro,0.6701314167844062,3,0.0012494147624167937,pre0_mod03_post0
1e-4,1,kap_quad,multiclass,0.48068201808185607,3,0.0024123581313676644,pre0_mod03_post0
0.001,0,accuracy,multiclass,0.6691145332459626,3,0.001137942424571289,pre0_mod04_post0
0.001,0,bal_accuracy,macro,0.6633654360264071,3,0.0010627613598561307,pre0_mod04_post0
0.001,0,f_meas_micro,micro,0.6691145332459626,3,0.001137942424571289,pre0_mod04_post0
0.001,0,kap_quad,multiclass,0.47113983058740033,3,0.0022527424309683676,pre0_mod04_post0
0.001,0.5,accuracy,multiclass,0.6700067053640456,3,0.001173298449039328,pre0_mod05_post0
0.001,0.5,bal_accuracy,macro,0.6682878801703819,3,0.0012462226301096645,pre0_mod05_post0
0.001,0.5,f_meas_micro,micro,0.6700067053640456,3,0.001173298449039328,pre0_mod05_post0
0.001,0.5,kap_quad,multiclass,0.4782483901932324,3,0.0022156871835640897,pre0_mod05_post0
0.001,1,accuracy,multiclass,0.6697476884717074,3,0.0011021797515777022,pre0_mod06_post0
0.001,1,bal_accuracy,macro,0.6671979715416516,3,0.0012518415254175158,pre0_mod06_post0
0.001,1,f_meas_micro,micro,0.6697476884717074,3,0.0011021797515777022,pre0_mod06_post0
0.001,1,kap_quad,multiclass,0.476846575294721,3,0.0022523717967495673,pre0_mod06_post0
0.01,0,accuracy,multiclass,0.6691145332459626,3,0.001137942424571289,pre0_mod07_post0
0.01,0,bal_accuracy,macro,0.6633654360264071,3,0.0010627613598561307,pre0_mod07_post0
0.01,0,f_meas_micro,micro,0.6691145332459626,3,0.001137942424571289,pre0_mod07_post0
0.01,0,kap_quad,multiclass,0.47113983058740033,3,0.0022527424309683676,pre0_mod07_post0
0.01,0.5,accuracy,multiclass,0.6658096637649271,3,8.497376387401418e-4,pre0_mod08_post0
0.01,0.5,bal_accuracy,macro,0.6541354964609822,3,6.731709651408601e-4,pre0_mod08_post0
0.01,0.5,f_meas_micro,micro,0.6658096637649271,3,8.497376387401418e-4,pre0_mod08_post0
0.01,0.5,kap_quad,multiclass,0.4551388639326378,3,0.0015002859559679318,pre0_mod08_post0
0.01,1,accuracy,multiclass,0.6633490007683942,3,3.1738835412769824e-4,pre0_mod09_post0
0.01,1,bal_accuracy,macro,0.6494787882292753,3,2.0980320687628642e-4,pre0_mod09_post0
0.01,1,f_meas_micro,micro,0.6633490007683942,3,3.1738835412769824e-4,pre0_mod09_post0
0.01,1,kap_quad,multiclass,0.4474851996675549,3,7.811990592688662e-4,pre0_mod09_post0
0.1,0,accuracy,multiclass,0.6638526407492585,3,8.446800411571779e-4,pre0_mod10_post0
0.1,0,bal_accuracy,macro,0.642780570588518,3,6.577710434185748e-4,pre0_mod10_post0
0.1,0,f_meas_micro,micro,0.6638526407492585,3,8.446800411571779e-4,pre0_mod10_post0
0.1,0,kap_quad,multiclass,0.4359789089493152,3,0.0017726062990551057,pre0_mod10_post0
0.1,0.5,accuracy,multiclass,0.6214984654542938,3,2.8103219952506424e-4,pre0_mod11_post0
0.1,0.5,bal_accuracy,macro,0.5518718945556841,3,3.1584141801863764e-4,pre0_mod11_post0
0.1,0.5,f_meas_micro,micro,0.6214984654542938,3,2.8103219952506424e-4,pre0_mod11_post0
0.1,0.5,kap_quad,multiclass,0.19648141834036278,3,0.0013950060851347914,pre0_mod11_post0
0.1,1,accuracy,multiclass,0.6214984654542938,3,2.8103219952506424e-4,pre0_mod12_post0
0.1,1,bal_accuracy,macro,0.5518718945556841,3,3.1584141801863764e-4,pre0_mod12_post0
0.1,1,f_meas_micro,micro,0.6214984654542938,3,2.8103219952506424e-4,pre0_mod12_post0
0.1,1,kap_quad,multiclass,0.19648141834036278,3,0.0013950060851347914,pre0_mod12_post0
