variable_1,variable_2,correlation,abs_correlation
count_floors_pre_eq,height_percentage,0.7554792083087991,0.7554792083087991
has_superstructure_mud_mortar_stone,has_superstructure_cement_mortar_brick,-0.47071499475371725,0.47071499475371725
has_superstructure_timber,has_superstructure_bamboo,0.43831149080383786,0.43831149080383786
has_superstructure_mud_mortar_brick,has_superstructure_mud_mortar_stone,-0.3762076731900127,0.3762076731900127
has_superstructure_adobe_mud,has_superstructure_mud_mortar_brick,0.31497853515877394,0.31497853515877394
has_superstructure_adobe_mud,has_superstructure_mud_mortar_stone,-0.30686116794946383,0.30686116794946383
age,count_floors_pre_eq,0.25547984239919896,0.25547984239919896
has_superstructure_rc_engineered,has_superstructure_mud_mortar_stone,-0.22450900961120906,0.22450900961120906
has_superstructure_mud_mortar_stone,has_superstructure_rc_non_engineered,-0.22236555575183764,0.22236555575183764
height_percentage,area_percentage,0.2099911664014874,0.2099911664014874
has_superstructure_mud_mortar_brick,age,0.20277482079506193,0.20277482079506193
age,height_percentage,0.19737533024026133,0.19737533024026133
has_superstructure_mud_mortar_brick,count_floors_pre_eq,0.19012016252361788,0.19012016252361788
has_superstructure_adobe_mud,age,0.18641587597091303,0.18641587597091303
has_superstructure_mud_mortar_brick,height_percentage,0.17987318908228028,0.17987318908228028
area_percentage,has_superstructure_cement_mortar_brick,0.17207889121280504,0.17207889121280504
area_percentage,has_superstructure_mud_mortar_stone,-0.17063299156620917,0.17063299156620917
age,has_superstructure_cement_mortar_brick,-0.170560902052852,0.170560902052852
has_superstructure_mud_mortar_stone,has_secondary_use_hotel,-0.15953158858702815,0.15953158858702815
has_superstructure_rc_non_engineered,has_secondary_use_hotel,0.1579970817888785,0.1579970817888785
has_superstructure_rc_engineered,area_percentage,0.15684010807893084,0.15684010807893084
has_superstructure_adobe_mud,height_percentage,0.1545938599025926,0.1545938599025926
has_superstructure_adobe_mud,count_floors_pre_eq,0.15309266402613175,0.15309266402613175
area_percentage,has_superstructure_rc_non_engineered,0.14820460952169173,0.14820460952169173
has_superstructure_rc_engineered,has_secondary_use_hotel,0.1397223605182372,0.1397223605182372
has_superstructure_cement_mortar_brick,has_secondary_use_hotel,0.1395405347854624,0.1395405347854624
has_superstructure_cement_mortar_brick,has_superstructure_rc_non_engineered,0.13891480595771594,0.13891480595771594
has_superstructure_rc_engineered,has_secondary_use_rental,0.13141637945166987,0.13141637945166987
count_floors_pre_eq,has_superstructure_cement_mortar_brick,-0.1256434406022727,0.1256434406022727
has_superstructure_stone_flag,has_superstructure_timber,0.12531140112997866,0.12531140112997866
count_floors_pre_eq,area_percentage,0.12523658041882507,0.12523658041882507
age,has_superstructure_rc_engineered,-0.12179596763917416,0.12179596763917416
has_superstructure_rc_engineered,has_superstructure_cement_mortar_brick,0.12106956738501959,0.12106956738501959
area_percentage,has_secondary_use_hotel,0.11915424158963565,0.11915424158963565
has_secondary_use_rental,has_superstructure_mud_mortar_stone,-0.1179477900803317,0.1179477900803317
has_superstructure_other,has_superstructure_bamboo,0.11721616080048614,0.11721616080048614
age,has_superstructure_mud_mortar_stone,0.10966905584920578,0.10966905584920578
has_secondary_use_rental,has_superstructure_cement_mortar_brick,0.10954527440891333,0.10954527440891333
age,has_superstructure_rc_non_engineered,-0.10653087005214745,0.10653087005214745
has_superstructure_other,has_superstructure_timber,0.10437193918712404,0.10437193918712404
has_superstructure_cement_mortar_stone,has_superstructure_mud_mortar_stone,-0.10428805091344094,0.10428805091344094
has_secondary_use_rental,has_superstructure_rc_non_engineered,0.10283848993973316,0.10283848993973316
has_secondary_use_agriculture,has_secondary_use_other,0.08503441717173926,0.08503441717173926
has_secondary_use_rental,area_percentage,0.08087579581400633,0.08087579581400633
has_superstructure_cement_mortar_stone,has_superstructure_cement_mortar_brick,0.07873890527767828,0.07873890527767828
count_floors_pre_eq,count_families,0.0784721448616304,0.0784721448616304
has_superstructure_stone_flag,has_superstructure_bamboo,0.07846575738674133,0.07846575738674133
count_families,area_percentage,0.07820154755040304,0.07820154755040304
has_superstructure_cement_mortar_stone,has_superstructure_rc_non_engineered,0.0763547783773897,0.0763547783773897
height_percentage,has_secondary_use_hotel,0.07471446232632296,0.07471446232632296
has_superstructure_cement_mortar_stone,area_percentage,0.07328435985187678,0.07328435985187678
has_superstructure_cement_mortar_stone,has_secondary_use_hotel,0.07210363985923805,0.07210363985923805
count_floors_pre_eq,has_superstructure_bamboo,-0.07188570355286714,0.07188570355286714
height_percentage,has_superstructure_rc_engineered,0.07013216608108833,0.07013216608108833
has_superstructure_timber,has_superstructure_rc_engineered,-0.06898132856705269,0.06898132856705269
has_superstructure_stone_flag,has_superstructure_other,0.06573211699817164,0.06573211699817164
height_percentage,count_families,0.0628657214644117,0.0628657214644117
age,has_secondary_use_hotel,-0.06122886219801149,0.06122886219801149
height_percentage,has_superstructure_bamboo,-0.05972475398231687,0.05972475398231687
count_floors_pre_eq,has_superstructure_timber,-0.05911656629382674,0.05911656629382674
has_superstructure_timber,has_superstructure_cement_mortar_brick,-0.05865213276228937,0.05865213276228937
has_secondary_use_agriculture,has_superstructure_mud_mortar_stone,0.058261233741026125,0.058261233741026125
has_superstructure_adobe_mud,has_superstructure_other,0.057544678543688554,0.057544678543688554
has_superstructure_bamboo,has_superstructure_cement_mortar_brick,-0.05494095983124939,0.05494095983124939
has_superstructure_bamboo,has_superstructure_mud_mortar_stone,-0.054657207770169317,0.054657207770169317
has_secondary_use_agriculture,has_superstructure_cement_mortar_brick,-0.054272546306173494,0.054272546306173494
age,has_superstructure_bamboo,-0.05218541471114974,0.05218541471114974
has_secondary_use_institution,has_superstructure_rc_engineered,0.050225317173744274,0.050225317173744274
count_floors_pre_eq,has_secondary_use_hotel,0.049836394917045064,0.049836394917045064
has_secondary_use_agriculture,has_secondary_use_hotel,-0.048931068716984646,0.048931068716984646
has_superstructure_mud_mortar_brick,area_percentage,0.048653125301101656,0.048653125301101656
count_families,has_secondary_use_hotel,-0.04776963916502533,0.04776963916502533
height_percentage,has_superstructure_cement_mortar_brick,-0.04738364629309651,0.04738364629309651
age,count_families,0.047345148727207256,0.047345148727207256
age,has_superstructure_cement_mortar_stone,-0.04703494194140426,0.04703494194140426
height_percentage,has_secondary_use_rental,0.04617138335464713,0.04617138335464713
has_secondary_use_agriculture,count_families,-0.04412849257513533,0.04412849257513533
has_superstructure_stone_flag,has_superstructure_cement_mortar_brick,-0.043729100300946705,0.043729100300946705
height_percentage,has_superstructure_rc_non_engineered,0.04358553587333194,0.04358553587333194
has_superstructure_other,has_superstructure_mud_mortar_stone,-0.04170463655591926,0.04170463655591926
count_floors_pre_eq,has_superstructure_mud_mortar_stone,0.04120108328855065,0.04120108328855065
count_floors_pre_eq,has_superstructure_stone_flag,-0.04093001944879872,0.04093001944879872
has_superstructure_timber,has_superstructure_mud_mortar_stone,-0.04017697005304422,0.04017697005304422
height_percentage,has_superstructure_timber,-0.04007007874803772,0.04007007874803772
has_superstructure_timber,area_percentage,-0.0392238832004811,0.0392238832004811
has_superstructure_mud_mortar_brick,has_secondary_use_agriculture,-0.038678297386720115,0.038678297386720115
height_percentage,has_superstructure_mud_mortar_stone,-0.03820876206976197,0.03820876206976197
has_superstructure_adobe_mud,area_percentage,0.03796684603062368,0.03796684603062368
has_superstructure_adobe_mud,has_superstructure_cement_mortar_brick,-0.03754921362244427,0.03754921362244427
has_superstructure_stone_flag,has_superstructure_cement_mortar_stone,0.037306555128477276,0.037306555128477276
has_superstructure_bamboo,has_superstructure_rc_engineered,-0.03726254691092214,0.03726254691092214
age,has_superstructure_timber,-0.03712284394834249,0.03712284394834249
has_superstructure_adobe_mud,has_superstructure_rc_non_engineered,-0.036829901130392285,0.036829901130392285
has_superstructure_adobe_mud,has_superstructure_rc_engineered,-0.03678163910404505,0.03678163910404505
has_secondary_use_institution,has_superstructure_rc_non_engineered,0.03631380523302153,0.03631380523302153
has_secondary_use_institution,has_superstructure_mud_mortar_stone,-0.036064431098925535,0.036064431098925535
has_superstructure_stone_flag,has_superstructure_mud_mortar_stone,-0.03404559992855149,0.03404559992855149
has_secondary_use_rental,has_superstructure_cement_mortar_stone,0.033756607452971085,0.033756607452971085
has_superstructure_mud_mortar_brick,has_superstructure_stone_flag,-0.03334788218896053,0.03334788218896053
count_floors_pre_eq,has_superstructure_other,-0.03217535361528642,0.03217535361528642
has_secondary_use_institution,has_superstructure_cement_mortar_brick,0.03206299361831764,0.03206299361831764
has_secondary_use_institution,area_percentage,0.032062784754528166,0.032062784754528166
has_secondary_use_gov_office,has_superstructure_rc_engineered,0.031536035542867574,0.031536035542867574
has_superstructure_adobe_mud,count_families,0.031446344209251256,0.031446344209251256
has_superstructure_bamboo,has_secondary_use_hotel,-0.03075540492330528,0.03075540492330528
age,has_secondary_use_rental,-0.030703025181743258,0.030703025181743258
has_superstructure_mud_mortar_brick,has_superstructure_cement_mortar_brick,0.030656107595381704,0.030656107595381704
has_secondary_use_agriculture,has_superstructure_rc_engineered,-0.029544790057485257,0.029544790057485257
has_superstructure_mud_mortar_brick,has_superstructure_rc_non_engineered,-0.028913596623120975,0.028913596623120975
count_families,has_superstructure_rc_engineered,-0.028719932060562312,0.028719932060562312
has_superstructure_timber,has_secondary_use_hotel,-0.027763118153576717,0.027763118153576717
count_families,has_superstructure_rc_non_engineered,-0.027530637171344866,0.027530637171344866
has_superstructure_timber,has_superstructure_rc_non_engineered,-0.027385017674208492,0.027385017674208492
has_superstructure_timber,has_secondary_use_rental,-0.02654633024814872,0.02654633024814872
has_superstructure_mud_mortar_brick,has_superstructure_rc_engineered,-0.026530927715050456,0.026530927715050456
has_superstructure_mud_mortar_brick,has_superstructure_other,0.026302016111688444,0.026302016111688444
has_secondary_use_industry,has_superstructure_cement_mortar_brick,0.026241067951608348,0.026241067951608348
count_families,has_secondary_use_institution,-0.026235389300208335,0.026235389300208335
has_secondary_use_industry,has_superstructure_mud_mortar_stone,-0.025506572182153023,0.025506572182153023
has_superstructure_mud_mortar_brick,count_families,0.02533334617640701,0.02533334617640701
has_superstructure_rc_engineered,has_superstructure_cement_mortar_stone,0.02516799604169399,0.02516799604169399
has_superstructure_mud_mortar_brick,has_secondary_use_hotel,0.02515191648954727,0.02515191648954727
has_secondary_use_school,has_superstructure_rc_engineered,0.025086655466974184,0.025086655466974184
has_secondary_use_school,area_percentage,0.024686364982777813,0.024686364982777813
count_families,has_superstructure_cement_mortar_brick,-0.02454059706249618,0.02454059706249618
count_families,has_secondary_use_industry,-0.023966551094802977,0.023966551094802977
has_superstructure_bamboo,area_percentage,-0.023880649033485517,0.023880649033485517
has_secondary_use_agriculture,has_secondary_use_rental,-0.02370506605268041,0.02370506605268041
count_floors_pre_eq,has_secondary_use_rental,0.02333409265159719,0.02333409265159719
count_families,has_secondary_use_school,-0.023289056478970345,0.023289056478970345
has_secondary_use_agriculture,has_superstructure_rc_non_engineered,-0.023192412486876438,0.023192412486876438
count_floors_pre_eq,has_superstructure_rc_engineered,0.0230916064618768,0.0230916064618768
has_secondary_use_school,has_superstructure_mud_mortar_stone,-0.023070199208198815,0.023070199208198815
has_superstructure_stone_flag,has_superstructure_rc_engineered,-0.02140574210917034,0.02140574210917034
has_secondary_use_school,has_superstructure_rc_non_engineered,0.02101218516090335,0.02101218516090335
has_superstructure_bamboo,has_superstructure_rc_non_engineered,0.020199586495404407,0.020199586495404407
has_secondary_use_school,has_superstructure_cement_mortar_brick,0.019857630760639903,0.019857630760639903
height_percentage,has_secondary_use_institution,0.01975936921903312,0.01975936921903312
has_superstructure_bamboo,has_secondary_use_rental,-0.01910350417326947,0.01910350417326947
has_superstructure_other,has_superstructure_rc_non_engineered,-0.01850602771460905,0.01850602771460905
has_secondary_use_other,count_families,-0.018468629274609162,0.018468629274609162
has_superstructure_mud_mortar_brick,has_secondary_use_rental,0.018367500603715035,0.018367500603715035
height_percentage,has_superstructure_stone_flag,-0.018002574371393222,0.018002574371393222
count_families,has_superstructure_mud_mortar_stone,0.017839158894925062,0.017839158894925062
count_floors_pre_eq,has_superstructure_cement_mortar_stone,-0.016910099448511545,0.016910099448511545
has_secondary_use_rental,has_secondary_use_hotel,-0.016857300100929565,0.016857300100929565
age,area_percentage,-0.016829385681078467,0.016829385681078467
age,has_secondary_use_institution,-0.01650016371343422,0.01650016371343422
height_percentage,has_superstructure_other,-0.01646969100826757,0.01646969100826757
count_families,has_secondary_use_use_police,-0.016325929614508135,0.016325929614508135
has_secondary_use_agriculture,has_superstructure_cement_mortar_stone,-0.01611732363758264,0.01611732363758264
has_secondary_use_industry,area_percentage,0.01607356915000469,0.01607356915000469
has_secondary_use_industry,has_superstructure_rc_non_engineered,0.015176419141186464,0.015176419141186464
has_superstructure_adobe_mud,has_superstructure_cement_mortar_stone,-0.014554221668119226,0.014554221668119226
has_secondary_use_other,has_superstructure_timber,-0.014453129704144405,0.014453129704144405
has_superstructure_timber,has_superstructure_cement_mortar_stone,0.014429990466843979,0.014429990466843979
has_secondary_use_other,has_superstructure_cement_mortar_stone,0.014336930236041719,0.014336930236041719
age,has_secondary_use_agriculture,0.01293510131327734,0.01293510131327734
has_superstructure_adobe_mud,has_secondary_use_hotel,-0.012641728222419471,0.012641728222419471
has_secondary_use_gov_office,has_superstructure_cement_mortar_stone,0.012605304801753293,0.012605304801753293
has_superstructure_other,has_superstructure_cement_mortar_stone,0.012462466992185726,0.012462466992185726
has_secondary_use_other,area_percentage,0.012449346309510834,0.012449346309510834
has_superstructure_rc_engineered,has_superstructure_rc_non_engineered,-0.012324358705519643,0.012324358705519643
count_floors_pre_eq,has_secondary_use_institution,0.012196996410935992,0.012196996410935992
count_families,has_secondary_use_health_post,-0.012152421110333643,0.012152421110333643
has_secondary_use_gov_office,has_superstructure_mud_mortar_stone,-0.011904241772225158,0.011904241772225158
has_secondary_use_health_post,has_superstructure_rc_engineered,0.01170016491886065,0.01170016491886065
has_superstructure_adobe_mud,has_superstructure_timber,0.011694108322298738,0.011694108322298738
count_floors_pre_eq,has_superstructure_rc_non_engineered,-0.011644360278675112,0.011644360278675112
has_superstructure_stone_flag,has_secondary_use_rental,-0.01163207672935391,0.01163207672935391
has_superstructure_adobe_mud,has_superstructure_bamboo,0.011528412151666929,0.011528412151666929
has_superstructure_mud_mortar_brick,has_secondary_use_industry,0.011167734231076209,0.011167734231076209
has_secondary_use_agriculture,has_superstructure_stone_flag,0.010562752581589282,0.010562752581589282
has_secondary_use_gov_office,height_percentage,0.010415688552816273,0.010415688552816273
has_secondary_use_health_post,area_percentage,0.010394443763027332,0.010394443763027332
age,has_secondary_use_industry,-0.010114871429808613,0.010114871429808613
has_superstructure_adobe_mud,has_secondary_use_other,-0.01007436755645844,0.01007436755645844
has_superstructure_other,has_superstructure_rc_engineered,-0.009842510531390325,0.009842510531390325
height_percentage,has_secondary_use_school,0.009824528498982245,0.009824528498982245
age,has_secondary_use_school,-0.009496939840470526,0.009496939840470526
age,has_superstructure_stone_flag,0.00926695797301286,0.00926695797301286
count_families,has_superstructure_cement_mortar_stone,-0.009105067877671364,0.009105067877671364
has_secondary_use_gov_office,count_floors_pre_eq,0.0090814033396728,0.0090814033396728
has_superstructure_stone_flag,has_secondary_use_hotel,-0.00886789352675735,0.00886789352675735
has_secondary_use_health_post,has_superstructure_cement_mortar_brick,0.008817360198318884,0.008817360198318884
has_secondary_use_health_post,has_superstructure_mud_mortar_stone,-0.008762636908390608,0.008762636908390608
has_secondary_use_gov_office,count_families,-0.008753959667232756,0.008753959667232756
has_secondary_use_gov_office,area_percentage,0.00860399631130213,0.00860399631130213
has_secondary_use_agriculture,has_secondary_use_industry,-0.00858747709997716,0.00858747709997716
has_secondary_use_other,has_superstructure_bamboo,-0.008561180298748363,0.008561180298748363
has_superstructure_stone_flag,has_superstructure_rc_non_engineered,0.008448081157868867,0.008448081157868867
has_secondary_use_health_post,has_superstructure_rc_non_engineered,0.008195327870756676,0.008195327870756676
has_secondary_use_other,has_superstructure_rc_engineered,0.008110270142096719,0.008110270142096719
has_secondary_use_agriculture,has_secondary_use_institution,-0.008046706729196438,0.008046706729196438
has_secondary_use_institution,has_superstructure_cement_mortar_stone,0.00798462412361406,0.00798462412361406
has_secondary_use_agriculture,area_percentage,-0.007855092123197438,0.007855092123197438
age,has_superstructure_other,-0.007848784911621403,0.007848784911621403
has_superstructure_other,has_secondary_use_hotel,0.007830318226148556,0.007830318226148556
has_superstructure_stone_flag,area_percentage,0.007715131922799396,0.007715131922799396
has_secondary_use_gov_office,has_superstructure_cement_mortar_brick,0.0073959222067832495,0.0073959222067832495
height_percentage,has_secondary_use_health_post,0.007390936600879298,0.007390936600879298
has_superstructure_adobe_mud,has_superstructure_stone_flag,0.006961750375361459,0.006961750375361459
has_secondary_use_industry,has_superstructure_cement_mortar_stone,0.006939083258360454,0.006939083258360454
count_families,has_superstructure_stone_flag,0.006657945362268614,0.006657945362268614
has_secondary_use_school,has_superstructure_cement_mortar_stone,0.006473178552053475,0.006473178552053475
has_secondary_use_other,has_superstructure_other,0.006200971494314765,0.006200971494314765
count_floors_pre_eq,has_secondary_use_industry,-0.006200283528154571,0.006200283528154571
age,has_secondary_use_health_post,-0.006176340626619098,0.006176340626619098
has_secondary_use_industry,has_secondary_use_hotel,-0.00610678233346693,0.00610678233346693
has_secondary_use_agriculture,has_superstructure_other,-0.006099680718387583,0.006099680718387583
has_secondary_use_use_police,area_percentage,0.0060553757267660276,0.0060553757267660276
has_superstructure_other,has_superstructure_cement_mortar_brick,-0.005976746841282967,0.005976746841282967
has_superstructure_other,area_percentage,0.005880452392919232,0.005880452392919232
has_secondary_use_institution,has_secondary_use_hotel,-0.005722226205013921,0.005722226205013921
has_secondary_use_other,has_superstructure_mud_mortar_stone,0.005628210243558239,0.005628210243558239
count_floors_pre_eq,has_secondary_use_health_post,0.005369704257596617,0.005369704257596617
has_secondary_use_use_police,has_superstructure_rc_engineered,0.005346545566881758,0.005346545566881758
has_secondary_use_gov_office,has_superstructure_rc_non_engineered,0.005321922767387373,0.005321922767387373
has_secondary_use_institution,has_superstructure_timber,-0.005306454416249954,0.005306454416249954
has_secondary_use_industry,has_superstructure_rc_engineered,0.005236363507707042,0.005236363507707042
has_secondary_use_use_police,has_superstructure_cement_mortar_brick,0.0050611052850998905,0.0050611052850998905
height_percentage,has_superstructure_cement_mortar_stone,0.0049888091573457045,0.0049888091573457045
has_secondary_use_agriculture,has_secondary_use_school,-0.004982796542435669,0.004982796542435669
has_superstructure_mud_mortar_brick,has_secondary_use_other,-0.004889863050572531,0.004889863050572531
has_secondary_use_institution,has_superstructure_bamboo,-0.004860993852588446,0.004860993852588446
has_secondary_use_use_police,has_superstructure_cement_mortar_stone,0.00482542143415684,0.00482542143415684
has_secondary_use_other,has_secondary_use_institution,0.004817660353187044,0.004817660353187044
has_superstructure_timber,has_secondary_use_health_post,-0.004812266783333594,0.004812266783333594
count_floors_pre_eq,has_secondary_use_agriculture,0.00476734999534425,0.00476734999534425
count_floors_pre_eq,has_secondary_use_school,0.004602233775877342,0.004602233775877342
count_families,has_superstructure_timber,0.00449356396780568,0.00449356396780568
has_secondary_use_agriculture,has_superstructure_bamboo,0.004471814611363618,0.004471814611363618
has_secondary_use_health_post,has_superstructure_cement_mortar_stone,0.004406171748843565,0.004406171748843565
has_secondary_use_gov_office,age,-0.00435741945183946,0.00435741945183946
has_superstructure_adobe_mud,has_secondary_use_institution,-0.004280959099607353,0.004280959099607353
has_superstructure_stone_flag,has_secondary_use_industry,-0.004239518316298208,0.004239518316298208
has_secondary_use_other,has_secondary_use_industry,0.004228701343462868,0.004228701343462868
height_percentage,has_secondary_use_use_police,0.004205544150168119,0.004205544150168119
has_superstructure_bamboo,has_secondary_use_health_post,-0.004180045207586935,0.004180045207586935
has_secondary_use_gov_office,has_superstructure_timber,-0.0041484574136776,0.0041484574136776
count_floors_pre_eq,has_secondary_use_use_police,0.004129753135539114,0.004129753135539114
has_superstructure_bamboo,has_superstructure_cement_mortar_stone,-0.004007647824462059,0.004007647824462059
height_percentage,has_secondary_use_agriculture,-0.003936550349954853,0.003936550349954853
has_superstructure_adobe_mud,has_secondary_use_rental,-0.0039354903185672575,0.0039354903185672575
has_secondary_use_other,has_secondary_use_hotel,0.003920342691357015,0.003920342691357015
has_superstructure_adobe_mud,has_secondary_use_agriculture,-0.003916568869326289,0.003916568869326289
has_secondary_use_school,has_superstructure_timber,-0.003694702570520051,0.003694702570520051
count_families,has_superstructure_bamboo,0.003624896431499676,0.003624896431499676
has_secondary_use_school,has_superstructure_bamboo,-0.0036163669567647943,0.0036163669567647943
has_secondary_use_agriculture,has_secondary_use_health_post,-0.003597242873162569,0.003597242873162569
has_secondary_use_gov_office,has_secondary_use_other,0.0035869997996721852,0.0035869997996721852
has_secondary_use_school,has_secondary_use_hotel,-0.003543398549113705,0.003543398549113705
age,has_secondary_use_use_police,-0.0035062679665508146,0.0035062679665508146
count_floors_pre_eq,has_secondary_use_other,-0.003491361848926571,0.003491361848926571
has_secondary_use_use_police,has_superstructure_mud_mortar_stone,-0.0033803237596147792,0.0033803237596147792
has_secondary_use_agriculture,has_superstructure_timber,0.0033029576081160866,0.0033029576081160866
has_superstructure_adobe_mud,has_secondary_use_health_post,-0.003292298438870018,0.003292298438870018
has_secondary_use_gov_office,has_superstructure_mud_mortar_brick,-0.003265946155649744,0.003265946155649744
has_superstructure_bamboo,has_secondary_use_industry,-0.003247193021878939,0.003247193021878939
has_secondary_use_gov_office,has_secondary_use_agriculture,-0.0031677751805304862,0.0031677751805304862
has_secondary_use_gov_office,has_superstructure_stone_flag,0.0029590589253612447,0.0029590589253612447
has_secondary_use_industry,has_secondary_use_rental,-0.0029584818476267325,0.0029584818476267325
count_families,has_superstructure_other,0.0029392901008624362,0.0029392901008624362
has_superstructure_bamboo,has_secondary_use_use_police,-0.002863684633453668,0.002863684633453668
has_secondary_use_institution,has_secondary_use_rental,-0.0027721804104219212,0.0027721804104219212
has_secondary_use_institution,has_superstructure_other,-0.0027529587231878375,0.0027529587231878375
has_superstructure_timber,has_secondary_use_use_police,-0.002684769805420325,0.002684769805420325
has_secondary_use_gov_office,has_superstructure_adobe_mud,-0.002648235380751964,0.002648235380751964
has_superstructure_stone_flag,has_secondary_use_health_post,-0.0025857565542673666,0.0025857565542673666
has_secondary_use_health_post,has_secondary_use_hotel,-0.0025580946500663644,0.0025580946500663644
has_secondary_use_gov_office,has_superstructure_bamboo,-0.002541520018249364,0.002541520018249364
has_secondary_use_other,has_secondary_use_rental,0.0025158178386947244,0.0025158178386947244
has_secondary_use_agriculture,has_secondary_use_use_police,-0.0024644157244947985,0.0024644157244947985
has_superstructure_adobe_mud,has_secondary_use_school,-0.0023694279086921895,0.0023694279086921895
age,has_secondary_use_other,-0.0023481956262115353,0.0023481956262115353
has_superstructure_mud_mortar_brick,has_secondary_use_institution,-0.002334013831073856,0.002334013831073856
has_secondary_use_gov_office,has_secondary_use_hotel,-0.002252688802967525,0.002252688802967525
has_secondary_use_other,has_superstructure_stone_flag,0.0021265182982510597,0.0021265182982510597
has_secondary_use_use_police,has_superstructure_rc_non_engineered,0.002064179379889068,0.002064179379889068
has_superstructure_adobe_mud,has_secondary_use_industry,0.0017619666325319218,0.0017619666325319218
